# z  mu  dmu
    0.0306000      35.5660     0.108000
    0.0707000      37.3870     0.121000
    0.0263000      35.4340    0.0980000
    0.0248000      35.0370     0.134000
    0.0519000      36.8420    0.0850000
    0.0243000      35.0430     0.115000
    0.0357000      35.8050     0.128000
    0.0275000      35.6220    0.0960000
    0.0245000      35.0660    0.0570000
    0.0365000      36.1610    0.0830000
    0.0232000      35.0820     0.108000
    0.0218000      34.9720    0.0790000
    0.0305000      35.7460    0.0590000
    0.0502000      36.5600     0.129000
    0.0748000      37.5720     0.145000
    0.0259000      34.9720     0.100000
     0.100900      38.3100     0.191000
    0.0451000      36.6190    0.0950000
    0.0429000      36.2820     0.208000
    0.0789000      37.4540    0.0960000
    0.0634000      37.4330    0.0990000
    0.0500000      36.6510     0.109000
    0.0488000      36.3970    0.0510000
    0.0220000      34.8150     0.145000
     0.124200      39.0330    0.0950000
    0.0348000      35.8160    0.0720000
    0.0297000      36.0240    0.0810000
    0.0279000      35.0750    0.0730000
    0.0235000      35.1400     0.107000
    0.0537000      36.7470     0.129000
    0.0392000      36.3800    0.0900000
    0.0315000      35.6750    0.0720000
    0.0260000      35.3330    0.0510000
     0.190400      39.9210    0.0880000
     0.129100      38.7970     0.175000
     0.256500      40.5720     0.157000
     0.381300      41.2360     0.250000
    0.0858000      37.9270    0.0890000
     0.260900      40.5150     0.136000
     0.117900      38.5710    0.0730000
     0.182300      39.6300    0.0810000
     0.357600      41.3790     0.264000
     0.260400      40.8440     0.145000
     0.152000      39.2230    0.0700000
     0.286900      41.0930     0.118000
     0.194600      39.9640    0.0980000
     0.147200      39.3560    0.0700000
     0.212000      40.4180     0.190000
     0.180500      39.6300    0.0720000
     0.263800      40.7880    0.0940000
     0.192300      40.0400    0.0860000
     0.339100      41.4030     0.301000
     0.117500      38.6840    0.0730000
     0.142800      39.1910    0.0670000
     0.160500      39.3160    0.0990000
     0.289100      40.8850     0.163000
     0.123200      38.7490     0.140000
     0.264300      40.5520     0.118000
     0.126100      38.6910     0.101000
     0.173100      39.5170    0.0710000
     0.163600      39.4300    0.0740000
     0.249900      40.7700     0.106000
     0.106400      38.6240     0.137000
     0.159700      39.3410    0.0810000
     0.244600      40.2450    0.0910000
     0.248800      40.2900    0.0940000
     0.229200      40.2650    0.0960000
    0.0855000      37.9600    0.0760000
    0.0617000      37.1570    0.0820000
     0.277700      40.8060     0.179000
     0.275800      40.7470     0.120000
     0.330900      41.2420     0.164000
     0.362200      41.3590     0.171000
     0.331400      41.0540     0.175000
     0.144800      39.2810    0.0770000
     0.389300      42.5080     0.891000
     0.174500      39.5280     0.115000
     0.300400      40.8190     0.159000
